word,count
trump,37
chars,26
putin,20
president,18
have,14
summit,14
what,14
washington,13
alaska,13
national,11
meeting,9
ukraine,9
has,9
guard,8
people,8
who,8
move,8
police,8
bbc,8
house,7
leaders,7
troops,7
state,7
war,7
white,6
officials,6
deal,6
friday,6
while,6
states,6
vladimir,6
air,6
ceasefire,6
hundreds,6
time,6
had,6
set,6
european,5
all,5
takes,5
send,5
city,5
canada,5
saturday,5
life,5
force,5
week,5
israel,5
news,5
peace,4
including,4
fire,4
long,4
pro,4
park,4
visas,4
united,4
russia,4
members,4
trump's,4
order,4
erin,4
gaza,4
correspondents,4
next,4
donald,4
health,4
behind,4
watch,4
zelensky,3
make,3
still,3
find,3
russian,3
administration,3
npr,3
grand,3
statue,3
rescued,3
himself,3
redistricting,3
push,3
further,3
general,3
forest,3
without,3
carolina,3
hours,3
thousands,3
protesters,3
against,3
year,3
republican,3
corruption,3
government,3
crackdown,3
law,3
enforcement,3
talks,3
led,3
gov,3
another,3
federal,3
union,3
return,3
flights,3
need,3
meet,3
hurricane,3
category,3
islands,3
mark,3
center,3
jobs,3
days,3
department,3
moscow,3
years,3
place,3
california,3
governor,3
texas,3
moment,3
man,3
know,3
album,3
taylor,3
swift,3
crime,3
bad,3
worlds,3
cbs,3
off,3
ufc,3
climbing,3
pixel,3
video,3
william,3
home,3
teased,3
apple,3
intact,2
pence,2
deployment,2
former,2
mike,2
jan,2
recent,2
deploy,2
secretary,2
papers,2
left,2
hotel,2
events,2
several,2
found,2
around,2
dragon,2
bravo,2
crews,2
join,2
monday,2
others,2
party,2
control,2
maps,2
smoke,2
service,2
decades,2
better,2
protect,2
confederate,2
goes,2
far,2
few,2
local,2
creating,2
conflict,2
march,2
visitor,2
medical,2
children,2
venomous,2
bitten,2
each,2
according,2
effort,2
louisiana,2
jeanine,2
pirro,2
attorney,2
central,2
approach,2
give,2
west,2
virginia,2
south,2
pledged,2
patrolling,2
officers,2
