publisher,count
ETF Daily News,200
Biztoc.com,31
Sporting News,16
Thefly.com,15
The Times of India,12
Yahoo Entertainment,10
Memeorandum.com,10
Freerepublic.com,8
Breitbart News,7
Fox News,5
BBC News,5
Israelnationalnews.com,5
ABC News (AU),5
Financial Post,5
Antaranews.com,5
Newsweek,4
CinemaBlend,4
Slashdot.org,4
New York Post,4
The-independent.com,4
The Daily Caller,3
Paul Tan's Automotive News,3
USA Today,3
ABC News,3
CounterPunch,3
Boxingnews24.com,2
Variety,2
Bleeding Cool News,2
The Indian Express,2
Fark.com,2
Reason,2
CBC News,2
Forbes,2
Raw Story,2
Cracked.com,2
Marca,2
CNA,2
Mypeoplesreview.com,2
International Business Times,2
Breaking NEWS in KENYA for Today Right Now & Kenyan News | TUKO,2
Us Weekly,2
College Football News,2
Albuquerque Journal,1
TheWrap,1
TVLine,1
Balloon-juice.com,1
The Hockey News,1
Page Six,1
Screen Rant,1
Illawarra Mercury,1
Eonline.com,1
The Week Magazine,1
Mile High Report,1
Just Jared,1
ClutchPoints,1
The Daily Dot,1
Nintendo Life,1
Snopes.com,1
Associated Press,1
RTE,1
Thechronicle.com.gh,1
Japan Today,1
PhoneArena,1
A Sea Of Blue,1
CNBC,1
fox5sandiego.com,1
Marcandangel.com,1
The Naked Scientists,1
Business Insider,1
Al Jazeera English,1
Google News,1
Psychology Today,1
Billboard,1
CBS News,1
Prtimes.jp,1
Mediaite,1
Nep123.com,1
Wordpress.org,1
Santa Fe New Mexican,1
WPXI Pittsburgh,1
Motley Fool Australia,1
KOMO News,1
KOCO Oklahoma City,1
New Zealand Herald,1
Digital Journal,1
fox6now.com,1
CNN,1
NBC News,1
Justthenews.com,1
Techdirt,1
7NEWS.com.au,1
Ozbargain.com.au,1
Superherohype.com,1
Hamiltonnolan.com,1
Ambcrypto.com,1
Chelsea.news,1
Gamingonlinux.com,1
Paranatural.net,1
Toynewsi.com,1
Windows Central,1
PR Newswire UK,1
Boston Herald,1
ESPN,1
Fortune,1
C21media.net,1
Geeky Gadgets,1
Livemint,1
Deadline,1
mindbodygreen.com,1
Libsyn.com,1
