word,today,baseline_avg,score,date
trexquant,160,2.5714285714285716,609.350190267452,2025-09-08
investment,195,61.857142857142854,221.76376586783715,2025-09-08
wyoming,75,5.0,190.4230403293707,2025-09-08
state,91,29.142857142857142,101.54149392917412,2025-09-08
acquired,64,17.714285714285715,79.68640612798713,2025-09-08
sunday,43,9.857142857142858,60.17275703555147,2025-09-08
minister,45,12.428571428571429,55.40655434734819,2025-09-08
friday,80,46.42857142857143,42.81794678490108,2025-09-08
bought,49,20.857142857142858,40.547266421460165,2025-09-08
morning,50,23.571428571428573,36.51206524830929,2025-09-08
energy,41,21.857142857142858,24.94464403629904,2025-09-08
first,153,132.14285714285714,22.26608032785274,2025-09-08
here,52,33.857142857142854,21.789759540340135,2025-09-08
investors,64,46.142857142857146,20.55710492738716,2025-09-08
been,61,43.857142857142854,19.742744439721246,2025-09-08
latest,43,27.142857142857142,19.216530332130198,2025-09-08
rating,108,93.28571428571429,15.66196519651046,2025-09-08
currently,51,37.57142857142857,15.235327340556667,2025-09-08
hold,43,30.285714285714285,14.66420628575417,2025-09-08
nasdaq,222,208.71428571428572,13.636507917695571,2025-09-08
securities,77,66.0,11.705247961994178,2025-09-08
exchange,65,54.285714285714285,11.514112873377215,2025-09-08
institutional,52,41.57142857142857,11.393645957305601,2025-09-08
analyst,46,36.42857142857143,10.474809362196654,2025-09-08
sec,44,35.857142857142854,8.782974371776694,2025-09-08
recent,126,118.28571428571429,7.895854343544177,2025-09-08
group,91,84.0,7.201496170843865,2025-09-08
quarter,189,182.42857142857142,6.652561286553781,2025-09-08
stake,79,72.57142857142857,6.61782076217124,2025-09-08
position,89,82.57142857142857,6.595609521681244,2025-09-08
last,46,39.857142857142854,6.44303323749389,2025-09-08
filing,83,77.0,6.150961688758913,2025-09-08
nyse,181,176.28571428571428,4.75017321787778,2025-09-08
earnings,60,56.857142857142854,3.1738167673251336,2025-09-08
firm,75,72.42857142857143,2.5815167914859365,2025-09-08
commission,49,46.57142857142857,2.4397425606477645,2025-09-08
news,118,117.71428571428571,0.28365398274454623,2025-09-08
price,92,92.28571428571429,-0.28220881024328875,2025-09-08
target,51,51.57142857142857,-0.5573825971417005,2025-09-08
analysts,71,72.28571428571429,-1.2566699740574692,2025-09-08
