term,max_z,last_count
quarter,2.449489742783335,1.0
owned,2.449489742783319,5.0
increased,2.4494897427832303,0.0
advanced,2.449489742783205,0.0
exchange,2.449489742783201,0.0
filing,2.4494897427832005,0.0
institutional,2.4494897427831983,0.0
fund,2.449489742783191,2.0
solutions,2.449489742783191,0.0
securities,2.4494897427831877,0.0
firm,2.449489742783183,2.0
technologies,2.449489742783183,0.0
reports,2.449489742783183,3.0
nvidia,2.4494897427831828,2.0
cardinals,2.4494897427831828,0.0
during,2.449489742783182,12.0
tomorrow,2.449489742783182,0.0
sending,2.449489742783181,1.0
agents,2.44948974278318,2.0
receiver,2.44948974278318,2.0
musk,2.44948974278318,0.0
jack,2.44948974278318,1.0
leadership,2.4494897427831797,0.0
hundreds,2.4494897427831797,0.0
digital,2.449489742783179,2.0
investor,2.449489742783179,4.0
raised,2.449489742783179,0.0
developing,2.4494897427831788,2.0
cities,2.4494897427831788,0.0
station,2.4494897427831788,0.0
billionaire,2.4494897427831788,0.0
louisiana,2.4494897427831788,0.0
science,2.4494897427831788,2.0
brother,2.4494897427831788,3.0
strategic,2.4494897427831788,1.0
shut,2.4494897427831788,0.0
been,2.4494897427831783,8.0
face,2.4494897427831783,6.0
authorities,2.4494897427831783,0.0
evening,2.4494897427831783,2.0
ethereum,2.4494897427831783,0.0
earlier,2.4494897427831783,1.0
education,2.4494897427831783,5.0
behind,2.4494897427831783,0.0
earth,2.4494897427831783,2.0
become,2.4494897427831783,6.0
beat,2.4494897427831783,0.0
economic,2.4494897427831783,14.0
economy,2.4494897427831783,7.0
election,2.4494897427831783,12.0
episode,2.4494897427831783,3.0
available,2.4494897427831783,1.0
ended,2.4494897427831783,4.0
auto-generated,2.4494897427831783,1.0
demand,2.4494897427831783,2.0
exports,2.4494897427831783,0.0
export,2.4494897427831783,1.0
delhi,2.4494897427831783,0.0
band,2.4494897427831783,0.0
democratic,2.4494897427831783,2.0
drug,2.4494897427831783,0.0
beijing,2.4494897427831783,0.0
david,2.4494897427831783,0.0
expansion,2.4494897427831783,0.0
check,2.4494897427831783,1.0
events,2.4494897427831783,3.0
away,2.4494897427831783,2.0
every,2.4494897427831783,2.0
excess,2.4494897427831783,0.0
exclusive,2.4494897427831783,0.0
executive,2.4494897427831783,0.0
expected,2.4494897427831783,1.0
even,2.4494897427831783,2.0
experts,2.4494897427831783,0.0
ending,2.4494897427831783,1.0
commentators,2.4494897427831783,1.0
enforcement,2.4494897427831783,0.0
baldwin,2.4494897427831783,0.0
canadian,2.4494897427831783,1.0
cnbc,2.4494897427831783,2.0
climate,2.4494897427831783,1.0
campaign,2.4494897427831783,0.0
change,2.4494897427831783,0.0
chief,2.4494897427831783,0.0
charles,2.4494897427831783,3.0
children,2.4494897427831783,0.0
charges,2.4494897427831783,2.0
china,2.4494897427831783,14.0
china's,2.4494897427831783,0.0
charge,2.4494897427831783,0.0
church,2.4494897427831783,2.0
ceasefire,2.4494897427831783,0.0
center,2.4494897427831783,2.0
cent,2.4494897427831783,1.0
claim,2.4494897427831783,0.0
community,2.4494897427831783,1.0
candidate,2.4494897427831783,0.0
common,2.4494897427831783,5.0
coast,2.4494897427831783,0.0
enough,2.4494897427831783,0.0
days,2.4494897427831783,5.0
date,2.4494897427831783,0.0
facing,2.4494897427831783,1.0
comeback,2.4494897427831783,10.0
caught,2.4494897427831783,0.0
coach,2.4494897427831783,10.0
college,2.4494897427831783,6.0
capital,2.4494897427831783,1.0
colorado,2.4494897427831783,0.0
catch,2.4494897427831783,0.0
cash,2.4494897427831783,1.0
carolina,2.4494897427831783,0.0
close,2.4494897427831783,1.0
decline,2.4494897427831783,0.0
career,2.4494897427831783,2.0
defense,2.4494897427831783,0.0
driving,2.4494897427831783,6.0
bitcoin,2.4494897427831783,3.0
showed,2.4494897427831783,2.0
stop,2.4494897427831783,0.0
someone,2.4494897427831783,0.0
social,2.4494897427831783,7.0
security,2.4494897427831783,2.0
shareholder,2.4494897427831783,0.0
seen,2.4494897427831783,0.0
sell,2.4494897427831783,0.0
senior,2.4494897427831783,1.0
sentiment,2.4494897427831783,2.0
series,2.4494897427831783,3.0
service,2.4494897427831783,4.0
session,2.4494897427831783,0.0
several,2.4494897427831783,4.0
shared,2.4494897427831783,2.0
shooting,2.4494897427831783,2.0
sites,2.4494897427831783,1.0
shot,2.4494897427831783,0.0
stocks,2.4494897427831783,5.0
stock,2.4494897427831783,8.0
still,2.4494897427831783,2.0
stadium,2.4494897427831783,3.0
stars,2.4494897427831783,0.0
soon,2.4494897427831783,1.0
south,2.4494897427831783,7.0
southern,2.4494897427831783,3.0
space,2.4494897427831783,0.0
sporting,2.4494897427831783,2.0
sports,2.4494897427831783,1.0
staff,2.4494897427831783,0.0
stephen,2.4494897427831783,1.0
stand,2.4494897427831783,3.0
start,2.4494897427831783,0.0
sold,2.4494897427831783,0.0
started,2.4494897427831783,0.0
startup,2.4494897427831783,0.0
state,2.4494897427831783,6.0
steady,2.4494897427831783,2.0
show,2.4494897427831783,3.0
signed,2.4494897427831783,0.0
decision,2.4494897427831783,0.0
significant,2.4494897427831783,0.0
down,2.4494897427831783,4.0
draw,2.4494897427831783,0.0
claims,2.4494897427831783,0.0
drop,2.4494897427831783,0.0
biggest,2.4494897427831783,0.0
department,2.4494897427831783,0.0
below,2.4494897427831783,1.0
decade,2.4494897427831783,1.0
boom,2.4494897427831783,3.0
board,2.4494897427831783,0.0
deadline,2.4494897427831783,0.0
bloomberg,2.4494897427831783,3.0
deals,2.4494897427831783,0.0
black,2.4494897427831783,0.0
debate,2.4494897427831783,2.0
december,2.4494897427831783,3.0
democrats,2.4494897427831783,0.0
dollar,2.4494897427831783,1.0
does,2.4494897427831783,1.0
diwali,2.4494897427831783,0.0
division,2.4494897427831783,0.0
signs,2.4494897427831783,2.0
since,2.4494897427831783,1.0
sister,2.4494897427831783,1.0
site,2.4494897427831783,1.0
husband,2.4494897427831783,0.0
zohran,2.4494897427831783,3.0
human-edited,2.4494897427831783,1.0
development,2.4494897427831783,2.0
bill,2.4494897427831783,0.0
diane,2.4494897427831783,0.0
died,2.4494897427831783,1.0
different,2.4494897427831783,2.0
director,2.4494897427831783,0.0
discussing,2.4494897427831783,1.0
district,2.4494897427831783,0.0
better,2.4494897427831783,2.0
claimed,2.4494897427831783,0.0
currently,2.4494897427831783,0.0
class,2.4494897427831783,0.0
forces,2.4494897427831783,0.0
hard,2.4494897427831783,1.0
having,2.4494897427831783,0.0
he's,2.4494897427831783,0.0
agreement,2.4494897427831783,0.0
higher,2.4494897427831783,0.0
agreed,2.4494897427831783,3.0
agency,2.4494897427831783,1.0
help,2.4494897427831783,1.0
here's,2.4494897427831783,3.0
against,2.4494897427831783,7.0
high,2.4494897427831783,5.0
funding,2.4494897427831783,0.0
giants,2.4494897427831783,0.0
area,2.4494897427831783,0.0
food,2.4494897427831783,1.0
associated,2.4494897427831783,1.0
foreign,2.4494897427831783,0.0
aims,2.4494897427831783,0.0
airlines,2.4494897427831783,0.0
hamas,2.4494897427831783,0.0
action,2.4494897427831783,0.0
history,2.4494897427831783,0.0
hits,2.4494897427831783,1.0
hitting,2.4494897427831783,0.0
hold,2.4494897427831783,0.0
holding,2.4494897427831783,1.0
hopes,2.4494897427831783,2.0
highlights,2.4494897427831783,1.0
host,2.4494897427831783,1.0
head,2.4494897427831783,1.0
accused,2.4494897427831783,1.0
hours,2.4494897427831783,1.0
house,2.4494897427831783,1.0
however,2.4494897427831783,2.0
highs,2.4494897427831783,0.0
africa,2.4494897427831783,0.0
guard,2.4494897427831783,1.0
attorney,2.4494897427831783,0.0
fight,2.4494897427831783,1.0
actress,2.4494897427831783,0.0
argentina,2.4494897427831783,16.0
australia,2.4494897427831783,1.0
four,2.4494897427831783,0.0
find,2.4494897427831783,1.0
fourth,2.4494897427831783,3.0
australian,2.4494897427831783,3.0
fine,2.4494897427831783,5.0
announces,2.4494897427831783,0.0
fired,2.4494897427831783,6.0
francisco,2.4494897427831783,0.0
found,2.4494897427831783,0.0
fraud,2.4494897427831783,6.0
finance,2.4494897427831783,2.0
appeared,2.4494897427831783,3.0
foti,2.4494897427831783,0.0
fans,2.4494897427831783,5.0
apple,2.4494897427831783,0.0
fire,2.4494897427831783,5.0
fears,2.4494897427831783,2.0
female,2.4494897427831783,0.0
first,2.4494897427831783,17.0
follow,2.4494897427831783,2.0
asia,2.4494897427831783,6.0
artificial,2.4494897427831783,1.0
arizona,2.4494897427831783,0.0
fighting,2.4494897427831783,2.0
attention,2.4494897427831783,0.0
former,2.4494897427831783,4.0
file,2.4494897427831783,0.0
around,2.4494897427831783,5.0
film,2.4494897427831783,0.0
filed,2.4494897427831783,0.0
focus,2.4494897427831783,0.0
arrested,2.4494897427831783,1.0
florida,2.4494897427831783,6.0
flights,2.4494897427831783,3.0
article,2.4494897427831783,1.0
attack,2.4494897427831783,0.0
historic,2.4494897427831783,0.0
growth,2.4494897427831783,1.0
celebrated,2.4494897427831783,2.0
costs,2.4494897427831783,0.0
county,2.4494897427831783,4.0
building,2.4494897427831783,2.0
came,2.4494897427831783,2.0
continue,2.4494897427831783,2.0
conference,2.4494897427831783,0.0
confirmed,2.4494897427831783,2.0
congress,2.4494897427831783,2.0
conservative,2.4494897427831783,0.0
calls,2.4494897427831783,0.0
calling,2.4494897427831783,0.0
content,2.4494897427831783,2.0
continues,2.4494897427831783,0.0
bulletin,2.4494897427831783,2.0
control,2.4494897427831783,2.0
called,2.4494897427831783,0.0
copyright,2.4494897427831783,2.0
california,2.4494897427831783,5.0
